mass;position_x;position_y;velocity_x;velocity_y
1e+24;10000000000.0;0.0;-320.0;552.3313177131923
1e+24;9009688679.02419;4338837391.175581;-394.77175649645574;535.265152224187
1e+24;6234898018.587336;7818314824.680298;-454.7340496033742;487.44681913505275
1e+24;2225209339.5631447;9749279121.818235;-488.01061178166503;418.34732576746194
1e+24;-2225209339.5631433;9749279121.818235;-488.01061178166503;341.6526742325381
1e+24;-6234898018.587335;7818314824.680299;-454.7340496033742;272.55318086494725
1e+24;-9009688679.02419;4338837391.175582;-394.7717564964558;224.73484777581302
1e+24;-10000000000.0;1.2246467991473532e-06;-320.0;207.6686822868077
1e+24;-9009688679.02419;-4338837391.17558;-245.22824350354426;224.73484777581305
1e+24;-6234898018.5873375;-7818314824.680297;-185.26595039662578;272.5531808649472
1e+24;-2225209339.5631456;-9749279121.818235;-151.98938821833494;341.65267423253806
1e+24;2225209339.5631423;-9749279121.818235;-151.9893882183349;418.3473257674619
1e+24;6234898018.587334;-7818314824.680299;-185.26595039662578;487.4468191350527
1e+24;9009688679.02419;-4338837391.175584;-245.22824350354418;535.265152224187
1e+24;3.000001e+16;4e+16;400.0;-134.4408536026293
1e+24;3.000000766044443e+16;4.00000064278761e+16;312.8642603160864;-166.15566918834213
1e+24;3.0000001736481776e+16;4.000000984807753e+16;266.50030163615236;-246.46040126201194
1e+24;2.9999995e+16;4.000000866025404e+16;282.60233550454313;-337.77957319868534
1e+24;2.999999060307379e+16;4.000000342020143e+16;353.63604132006594;-397.3839295496459
1e+24;2.999999060307379e+16;3.999999657979857e+16;446.363958679934;-397.3839295496459
1e+24;2.9999995e+16;3.999999133974596e+16;517.3976644954568;-337.7795731986854
1e+24;3.0000001736481776e+16;3.999999015192247e+16;533.4996983638476;-246.460401262012
1e+24;3.000000766044443e+16;3.99999935721239e+16;487.1357396839136;-166.15566918834216
1e+24;1.000001e+16;8e+16;600.0;191.50444532685333
1e+24;1.0000008660254038e+16;8.0000005e+16;504.24777733657334;165.84771459070316
1e+24;1.0000005e+16;8.000000866025403e+16;434.15228540929695;95.75222266342668
1e+24;1e+16;8.000001e+16;408.49555467314667;1.1726265299601014e-14
1e+24;9999995000000000.0;8.000000866025403e+16;434.15228540929684;-95.75222266342665
1e+24;9999991339745962.0;8.0000005e+16;504.2477773365733;-165.8477145907031
1e+24;9999990000000000.0;8e+16;600.0;-191.50444532685336
1e+24;9999991339745962.0;7.9999995e+16;695.7522226634267;-165.8477145907032
1e+24;9999995000000000.0;7.999999133974597e+16;765.847714590703;-95.75222266342674
1e+24;1e+16;7.999999e+16;791.5044453268533;-3.5178795898803033e-14
1e+24;1.0000005e+16;7.999999133974597e+16;765.8477145907033;95.75222266342656
1e+24;1.0000008660254038e+16;7.9999995e+16;695.7522226634268;165.84771459070305
1e+24;8.000001e+16;6e+16;100.0;-326.2299569886778
1e+24;8.000000809016994e+16;6.000000587785252e+16;3.7383839506408236;-357.50725203432427
1e+24;8.000000309016994e+16;6.000000951056516e+16;-55.75456657985558;-439.39227353998535
1e+24;7.999999690983006e+16;6.000000951056516e+16;-55.75456657985558;-540.6077264600146
1e+24;7.999999190983006e+16;6.000000587785252e+16;3.738383950640795;-622.4927479656757
1e+24;7.999999e+16;6e+16;99.99999999999999;-653.7700430113222
1e+24;7.999999190983006e+16;5.999999412214748e+16;196.26161604935913;-622.4927479656757
1e+24;7.999999690983006e+16;5.999999048943484e+16;255.75456657985558;-540.6077264600146
1e+24;8.000000309016994e+16;5.999999048943484e+16;255.75456657985552;-439.3922735399854
1e+24;8.000000809016994e+16;5.999999412214748e+16;196.26161604935925;-357.50725203432427
1e+24;2.000001e+16;-2e+16;300.0;-155.89517687808535
1e+24;2.000000623489802e+16;-1.9999992181685176e+16;210.7892569818411;-198.85680644059158
1e+24;1.999999777479066e+16;-1.999999025072088e+16;188.75602302387549;-295.3907118100085
1e+24;1.999999099031132e+16;-1.999999566116261e+16;250.49177269251607;-372.8048933103572
1e+24;1.999999099031132e+16;-2.000000433883739e+16;349.50822730748393;-372.8048933103572
1e+24;1.999999777479066e+16;-2.000000974927912e+16;411.2439769761245;-295.3907118100085
1e+24;2.000000623489802e+16;-2.0000007818314824e+16;389.2107430181589;-198.85680644059158
1e+24;8.000001e+16;-3e+16;-200.0;631.7724140212213
1e+24;8.00000070710678e+16;-2.9999992928932188e+16;-286.10609971586143;596.1060997158614
1e+24;8e+16;-2.999999e+16;-321.7724140212213;510.0
1e+24;7.99999929289322e+16;-2.9999992928932188e+16;-286.10609971586143;423.8939002841386
1e+24;7.999999e+16;-3e+16;-200.00000000000003;388.2275859787787
1e+24;7.99999929289322e+16;-3.0000007071067812e+16;-113.89390028413861;423.89390028413857
1e+24;8e+16;-3.000001e+16;-78.22758597877869;510.0
1e+24;8.00000070710678e+16;-3.0000007071067812e+16;-113.89390028413858;596.1060997158613
1e+24;2.000001e+16;-7e+16;20.0;793.8627044363822
1e+24;2.000000766044443e+16;-6.99999935721239e+16;-85.32891610143399;755.5261141679381
1e+24;2.0000001736481776e+16;-6.999999015192247e+16;-141.37326175849714;658.4544600129526
1e+24;1.9999995e+16;-6.999999133974596e+16;-121.90926477472806;548.068647781809
1e+24;1.999999060307379e+16;-6.999999657979857e+16;-36.044345657063154;476.0194258191093
1e+24;1.999999060307379e+16;-7.000000342020143e+16;76.0443456570631;476.0194258191093
1e+24;1.9999995e+16;-7.000000866025404e+16;161.90926477472797;548.0686477818089
1e+24;2.0000001736481776e+16;-7.000000984807753e+16;181.37326175849714;658.4544600129525
1e+24;2.000000766044443e+16;-7.00000064278761e+16;125.32891610143403;755.5261141679381
1e+24;-2.999999e+16;-3e+16;30.0;-332.65288819675277
1e+24;-2.9999996909830056e+16;-2.9999990489434836e+16;-72.09317018594272;-406.8279181557291
1e+24;-3.0000008090169944e+16;-2.9999994122147476e+16;-33.09704919414003;-526.8456377458946
1e+24;-3.0000008090169944e+16;-3.0000005877852524e+16;93.09704919414;-526.8456377458946
1e+24;-2.9999996909830056e+16;-3.0000009510565164e+16;132.0931701859427;-406.8279181557291
1e+24;-3.999999e+16;-6e+16;-390.0;162.53092241250593
1e+24;-3.9999991909830056e+16;-5.999999412214748e+16;-479.6554267126385;133.40010839940385
1e+24;-3.9999996909830056e+16;-5.999999048943484e+16;-535.0655276969243;57.1346471931509
1e+24;-4.0000003090169944e+16;-5.999999048943484e+16;-535.0655276969243;-37.13464719315088
1e+24;-4.0000008090169944e+16;-5.999999412214748e+16;-479.6554267126385;-113.40010839940383
1e+24;-4.000001e+16;-6e+16;-390.0;-142.53092241250596
1e+24;-4.0000008090169944e+16;-6.000000587785252e+16;-300.3445732873616;-113.40010839940383
1e+24;-4.0000003090169944e+16;-6.000000951056516e+16;-244.9344723030757;-37.13464719315091
1e+24;-3.9999996909830056e+16;-6.000000951056516e+16;-244.93447230307575;57.13464719315085
1e+24;-3.9999991909830056e+16;-6.000000587785252e+16;-300.3445732873615;133.40010839940385
1e+24;-7.999999e+16;-4e+16;-17.0;572.2799340756394
1e+24;-7.999999158746467e+16;-3.999999459359182e+16;-120.95438073896213;541.7561738336783
1e+24;-7.999999584584987e+16;-3.999999090368005e+16;-191.90398009985913;459.8759713140336
1e+24;-8.000000142314838e+16;-3.999999010178558e+16;-207.32280159152015;352.6357122788275
1e+24;-8.000000654860734e+16;-3.999999244250426e+16;-162.31547833452933;254.08342124827576
1e+24;-8.000000959492974e+16;-3.999999718267443e+16;-71.17151745643143;195.50875428736518
1e+24;-8.000000959492974e+16;-4.000000281732557e+16;37.17151745643139;195.50875428736515
1e+24;-8.000000654860734e+16;-4.000000755749574e+16;128.31547833452933;254.08342124827573
1e+24;-8.000000142314838e+16;-4.000000989821442e+16;173.32280159152012;352.63571227882744
1e+24;-7.999999584584987e+16;-4.000000909631995e+16;157.90398009985915;459.87597131403356
1e+24;-7.999999158746467e+16;-4.000000540640818e+16;86.95438073896207;541.7561738336783
1e+24;-4.999999e+16;3e+16;280.0;307.7477911038827
1e+24;-4.999999376510198e+16;3.0000007818314824e+16;180.12275509923518;259.64944496325074
1e+24;-5.0000002225209336e+16;3.000000974927912e+16;155.4551127332519;151.57344221270787
1e+24;-5.000000900968868e+16;3.000000433883739e+16;224.57231073183863;64.90321727210005
1e+24;-5.000000900968868e+16;2.999999566116261e+16;335.4276892681614;64.90321727210005
1e+24;-5.0000002225209336e+16;2.999999025072088e+16;404.5448872667481;151.57344221270785
1e+24;-4.999999376510198e+16;2.9999992181685176e+16;379.8772449007648;259.6494449632507
1e+24;-8.999999e+16;3e+16;180.0;454.5029791276372
1e+24;-8.999999190983006e+16;3.0000005877852524e+16;95.06327995644779;426.90536585206684
1e+24;-8.999999690983006e+16;3.0000009510565164e+16;42.56950007659802;354.6538762882482
1e+24;-9.000000309016994e+16;3.0000009510565164e+16;42.56950007659802;265.3461237117518
1e+24;-9.000000809016994e+16;3.0000005877852524e+16;95.06327995644776;193.0946341479332
1e+24;-9.000001e+16;3e+16;179.99999999999997;165.49702087236275
