id;mass;r_x;r_y;v_x;v_y
0;8.016913800658281E34;1.0466653195163433E10;-2.3119658465833546E10;0.0;0.0
1;5.291792310586474E34;-2.0546504344665337E9;-2.948647682684314E10;0.0;0.0
2;7.367467773808287E34;2.6760578204207443E10;-4.999217969760075E9;0.0;0.0
3;5.9706577346858305E34;1.2539374129786041E10;-2.2334365117282772E10;0.0;0.0
4;6.688487531975257E34;2.333096562410561E10;-1.2690623880950861E10;0.0;0.0
5;4.137340917448315E34;-3.642744304002617E9;1.7931427301811447E9;0.0;0.0
6;5.075030400120837E34;-4.526327707003282E10;1.129926637015876E10;0.0;0.0
7;6.618785145692346E34;4.1969310963369064E9;-1.7328447888438778E10;0.0;0.0
8;8.541992090237607E34;-2.2633126339627945E10;-3.333327348643058E10;0.0;0.0
9;9.366009568876151E34;2.4733145990103237E10;-5.59058534771333E10;0.0;0.0
