id;mass;r_x;r_y;v_x;v_y
0;1.0204523069307237E34;1.8192432021584896E10;2.2656392810963837E10;0.0;0.0
1;1.1185193405828133E34;-2.496242649092814E10;5.774092803935623E10;0.0;0.0
2;6.748535619380948E34;1.1957763589739294E9;5.801973041479504E9;0.0;0.0
3;8.750387307859756E34;-1.7227071499382927E10;6.190945126494687E10;0.0;0.0
4;1.915254894834998E34;3.1628510873677902E10;8.158868653931458E10;0.0;0.0
5;1.9738433911749322E33;3.1458256176947975E10;1.0343609701039211E10;0.0;0.0
6;8.671175506181655E34;-2.967077626203346E10;1.908910946587875E10;0.0;0.0
7;1.781217386474791E34;5.965254690392101E9;5.352706694742437E9;0.0;0.0
8;5.424512532821763E34;-1.7937947929450474E10;-2.4673077532002907E10;0.0;0.0
9;7.786191175962401E33;2.2809305697439762E10;-1.1184777904838638E10;0.0;0.0
10;6.625968588637582E34;-7.671024008496073E9;1.1065277178364336E10;0.0;0.0
11;9.363101387931729E34;2.003250321492485E10;2.545410094941482E10;0.0;0.0
12;9.858935144096359E34;3.2826058136476177E10;8.855347797511517E9;0.0;0.0
13;3.439866885241178E34;-7.528480161640423E9;3.593319837714133E10;0.0;0.0
14;7.923353539653232E34;4.961543044606761E10;2.0235029382495667E10;0.0;0.0
15;5.860855971358755E34;-1.4943848035414291E10;4.821057375170329E10;0.0;0.0
16;2.807524434683493E34;-2.2720501018521587E10;3.0507443627729256E10;0.0;0.0
17;8.682445741594519E34;-2.377963262057182E10;2.6949086805626335E10;0.0;0.0
18;2.191496647476977E34;2.4296625382230473E10;-3.254338562909433E10;0.0;0.0
19;4.970432000565313E34;7.80710183142494E9;1.4267226458755032E10;0.0;0.0
20;8.46740409688356E34;1.9603052333641506E10;4.035592293476344E10;0.0;0.0
21;4.331766241196828E33;4.819524231710266E10;-2.4550979688851517E10;0.0;0.0
22;5.771517098311178E34;1.3331766224285536E9;-1.0765686888597527E9;0.0;0.0
23;7.426813322747623E34;2.1547116287988806E9;2.186431232350319E9;0.0;0.0
24;8.85336991191558E34;-6.319819119118948E9;1.3884161739426575E9;0.0;0.0
25;4.464411482578198E34;7.218950220963937E9;2.9561328818581158E10;0.0;0.0
26;9.296286179678777E34;2.109850188818972E10;-2.0839294501164894E9;0.0;0.0
27;3.896338157436944E34;2.4342214237367787E9;3.686637323854079E10;0.0;0.0
28;4.784148265551783E34;-1.2668819115854122E10;-1.6992193647288628E10;0.0;0.0
29;9.739818259617612E34;-2.022621954054923E9;2.093099703123033E10;0.0;0.0
30;2.0038693515817187E34;-1.2947627037781025E10;2.5220796448165512E10;0.0;0.0
31;4.678196373636166E34;4.3551748532915665E10;1.2551148181382755E10;0.0;0.0
32;2.873879516273278E33;-3.3235568786518364E9;6.355966870928904E10;0.0;0.0
33;1.3356069391990852E34;1.051064493969779E9;5.2506532817669205E10;0.0;0.0
34;4.9690745728782357E33;1.2696800789444565E10;4.0570877394274414E10;0.0;0.0
35;2.034931936043997E34;3.6253502912613435E9;5.175356267003144E10;0.0;0.0
36;8.264657320664922E34;-8.446769063561897E9;3.8700142579340164E10;0.0;0.0
37;8.849832165831E34;2.8009359438775158E10;2.6068723928011684E9;0.0;0.0
38;7.586923693244281E34;2.9941510164931046E10;3.0728670460878647E10;0.0;0.0
39;9.51289263788922E34;4.856164958294839E9;3.2446341249906578E10;0.0;0.0
40;4.501758444803569E34;8.085289178225506E9;-9.805501802915882E9;0.0;0.0
41;5.574595866355231E33;3.9665587376382904E10;-1.4455766807088013E9;0.0;0.0
42;3.3238548009088205E34;-1.9160318060089645E10;2.209717002600143E10;0.0;0.0
43;5.9018195423374825E34;1.0995319578642258E10;3.06852284692921E10;0.0;0.0
44;9.844103822420614E34;3.352343564720062E10;-4.717186162065057E10;0.0;0.0
45;5.929109258687094E34;1.2429785833834227E10;6.072886007649802E10;0.0;0.0
46;5.067548584036461E34;-1.3473411265484E9;3.594879584352811E10;0.0;0.0
47;9.957680734450351E34;-4.846186824535474E10;1.154075129892641E10;0.0;0.0
48;4.48481166761205E34;-4.459030113456102E10;4.2951935332575417E8;0.0;0.0
49;1.2988697179596673E34;2.017784051262021E10;1.848131724466054E10;0.0;0.0
50;2.4267047163912554E34;-7.776113200375452E9;4.2249402473094025E10;0.0;0.0
51;4.950800933481519E34;1.5192462464585804E10;-1.0387079300546383E10;0.0;0.0
52;2.6241542873972484E33;4.561234510650818E10;2.8018427436207397E10;0.0;0.0
53;4.7316824980855384E33;2.4506293960628635E10;1.9200863781838352E10;0.0;0.0
54;4.1453729641153967E33;1.2695605346278652E10;5.2992898929174515E10;0.0;0.0
55;5.133989501714009E34;-3.550903144597325E10;3.8082861813311615E10;0.0;0.0
56;8.913263279866137E34;-1.1203951599498386E9;1.6150797609174763E10;0.0;0.0
57;9.953627374651856E34;9.696573696098654E9;-3.852263803283386E10;0.0;0.0
58;5.5475911703389365E34;1.5225233409371447E10;4.374127722499049E10;0.0;0.0
59;2.1187537370874587E34;6.54836391416425E10;6.876036210876137E9;0.0;0.0
