mass;r_x;r_y;v_x;v_y
5.743239940170772E34;-6.946102452069616E14;-4.238493919819313E15;-6006082.42339444;993558.8183740238
2.1536997433147844E34;-3.7914444402819605E15;-3.195884571120099E15;-2059347.2145921753;2462076.2459827885
8.917979556937343E34;-8.259563347852881E14;-5.3443287081794E15;-2891658.0676147183;450325.01815011236
6.322327956741249E34;-2.1918998468376915E15;-5.075508639952776E15;-3065879.1873162105;1331587.0425406997
8.328417512845213E34;-3.8707766341139615E15;-3.6797153804934065E15;-2106772.383159062;2231277.0295351315
4.693575699757727E34;-1.7393721267163682E15;-3.1746208786404395E15;-3368094.2813940854;1861447.5570412658
5.311343767484347E34;-4.892977462660997E14;-5.545935718711449E15;-2787281.9074281543;248348.60380592078
9.776479050484442E34;-4.3676419398790695E15;-3.4502163998677915E15;-1881928.8353309943;2399356.666871816
7.930729283110992E34;-2.11763995782893E15;-4.578180578429781E15;-1925487.3126279474;896191.125538631
4.306335164779654E34;-6.426788378903975E15;-4.005057582130364E15;-1217518.301057245;1965488.5822030497
9.204689179306194E34;-1.6294633862926448E15;-5.632173712947511E15;-2822502.9429773097;821265.5075564455
2.215536482774186E34;-4.2226896388453015E15;-3.078152983013713E15;-1426918.1371820671;1973054.5636404266
1.193946336170697E34;-4.2680157674111505E15;-2.629509314696513E15;-1849972.621102939;3030355.7346621137
7.884486720521113E34;-4.482869900428081E15;-5.449960865368771E15;-2028722.6272490632;1676630.679399607
8.681580465417841E34;-2.210103700194919E15;-2.749675529093527E15;-2555279.2127302513;2073272.75628464
3.907603490649921E33;-2.411889033920513E15;-2.739257579396112E15;-4657028.03482364;4138915.1744177705
9.221943074450961E34;-1.1304244255411445E15;-5.364876007605328E15;-2849124.6937147467;604361.0549515769
3.6458793244962614E34;-1.467894448725044E15;-5.405355145974879E15;-2809027.3029606133;767473.4506510311
5.522280214329396E34;-1.4799745877500102E15;-2.9936825572678E15;-2903095.717927806;1448725.7042171112
3.080954457667735E34;-1.5470513836247075E15;-3.007732692943633E15;-3812590.2970969644;1979294.1284047395
8.115250601402861E34;-2.4108062957468435E15;-3.243776652044088E15;-2321880.0541957854;1739612.823359992
3.7499706098344826E34;-2.6539406668585025E15;-3.4411137661483725E15;-3348875.4407874933;2602397.256681001
9.156844043967111E34;-2.6772341519147495E15;-3.399049853194671E15;-2406801.42789646;1910215.4342838547
5.937325187766392E34;-1.6525517601737108E15;-4.818716536869798E15;-3713910.0965776825;1281785.8811991275
8.469767597101132E34;-7.521336108206686E14;-4.2326571232024165E15;-3384843.935371964;606959.5351486501
6.797647215171858E34;-2.432320884041766E15;-3.602887466398195E15;-2491517.657440432;1694464.9235066685
5.6892644968247065E34;-1.9776043173744412E15;-3.0224599799649825E15;-2502161.079982082;1651687.9315014074
1.6839782114220164E34;-2.0754235002036975E15;-5.72136066101222E15;-6378888.927499817;2326173.9893673696
8.953887145246965E33;-4.216646376965527E15;-2.8532821362486355E15;-1071861.0292644314;1597538.606934168
3.660217917849577E34;-1.781832955978177E15;-4.558780224995155E15;-3723388.8348576133;1464796.3038720815
3.557112291636296E33;-6.278454403609297E15;-3.6474056353022095E15;-1245240.849026161;2157615.4080781797
5.271433271858126E34;-7.164450538632619E14;-4.266547130340629E15;-5706106.788733144;967051.0822762754
8.3378403135136E34;-1.5558784115291215E15;-3.8622741444144515E15;-2284154.7547503556;927179.2726220613
7.941335374205009E34;-3.129759440666131E15;-2.9135426101330175E15;-1741978.93873415;1887360.8845520164
6.403698964979935E34;-2.0478505948402802E15;-6.522941030639723E15;-2602435.0304490495;820964.781943158
6.503164546093757E34;-3.306842000752145E15;-3.4695983447835105E15;-2033984.0453907065;1952758.013187821
2.7000297572558447E34;-1.475990345500994E15;-3.220882483997367E15;-9514009.24485901;4398673.955117059
9.59967570129464E34;-2.4756949854834255E15;-2.89425150162456E15;-2436061.84479271;2102320.672606838
7.164939150606729E34;-3.3487474543312495E15;-3.8494079896588245E15;-2128954.692846804;1864406.997606778
