mass;r_x;r_y;v_x;v_y
5.8325946204905255E34;-5.169633782689113E13;-2.770122494832433E15;-445824.25924184424;18006.36700153789
4.601998521588663E34;-6.461367679097218E14;-1.1621081508320328E15;-276191.7377157331;154659.2422571239
3.433307932628153E34;-1.0604792846620168E15;-3.1733376916793825E15;-399216.48438879114;136912.02729976445
5.4793210421300875E34;-1.1765567736686522E15;-2.8112513029892355E15;-279937.9811585989;119052.44724765612
2.2391326217905526E34;-1.774317541099605E15;-2.1498692025622252E15;-219509.2663662301;178851.89001920965
6.97479378813031E34;7.448830260181285E14;-1.6968921456355732E15;-166542.85177098832;-62816.50060781274
9.847858426981547E34;-3.641295480368949E14;-2.543063710763727E15;-257152.24894000634;41593.76719768237
3.590221897741504E33;-2.4869821456042162E14;-1.764033955348627E15;-435001.8819418056;72819.1560257471
7.380798000362712E34;-2.4082147285778528E14;-1.9698094892280598E15;-128628.41213981937;18910.97316208815
2.5373450606871547E33;-7.043128118435614E14;-2.635639036167292E15;-409481.67507270304;114787.77268093193
5.18101018424048E34;2.025696842553353E14;-2.4475156030140215E15;-329751.10636011657;-17822.268693975824
2.0305557889501937E34;-5.823831379345369E14;-2.8748117825050505E15;-439547.5637702468;95358.82032168208
4.941250837895519E34;-6.53680353276546E14;-1.4458732459587812E15;-322192.7617941459;149014.02246312134
